ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,STATUS3 BLOCK,Unnamed: 0,STREET2 STSUFX2
10001,246,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722.0,3.0,,,
10001,299,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,699.0,31.0,,,
10001,301,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,699.0,32.0,,,
10001,303,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,304,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,305,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,306,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,307,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,308,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,309,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,440,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,732.0,73.0,,,
10001,442,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,732.0,72.0,,,
10001,311,11TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,675.0,12.0,,,
10001,312,11TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,701.0,62.0,,,
10001,320,11TH,AVE,545 TO 577,W 30TH,ST,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,702.0,7502.0,,,
10001,800,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,829.0,1.0,,,
10001,801,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,829.0,1.0,,,
10001,802,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,829.0,1.0,,,
10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS,,62,NEW YORK,MULTIPLE DWELLING B,,,804.0,36.0,,,
10001,835,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,836,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,837,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,838,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,839,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,840,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,841,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,842,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,843,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,844,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,845,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,846,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,847,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,848,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,849,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,850,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,851,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,855,6TH,AVE,100,W 31ST,ST,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,806.0,7502.0,,,
10001,883,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,807.0,7502.0,,,
