ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,COUNTY,CITY,STATUS1,STATUS2,STATUS3 BLOCK,Unnamed: 0,LOT,STATUS3,BLOCK
11001,87-15 TO 87-45,LITTLE NECK,PKWY,87-24 TO 87-48,256TH,ST,63,FLORAL PARK,MULTIPLE DWELLING A,GARDEN COMPLEX,8823,,26.0,,
11004,75-01 TO 75-99,254TH,ST,73-01 TO 75-99,255TH,ST,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CON8D4O43,,1.0,,
11004,73-21,260TH,ST,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CON8D4O46,,1.0,,
11004,73-35,260TH,ST,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/COND84O46,,1.0,,
11004,82-07 TO 82-63,268TH,ST,81-07 TO 81-39,268TH,ST,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CON8D7O62,,1.0,,
11004,260-03,74TH,AVE,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CON8D4O46,,1.0,,
11004,263-21,74TH,AVE,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CON8D4O50,,1.0,,
11004,259-10,HILLSIDE,AVE,,,,63,FLORAL PARK,MULTIPLE DWELLING A,,8789,,31.0,,
11004,260-17,LANGSTON,AVE,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/COND84O43,,1.0,,
11004,260-31,LANGSTON,AVE,,,,63,GLEN OAKS,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,8443,,1.0,,
11004,264-20,LANGSTON,AVE,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/COND84O50,,1.0,,
11004,72-07,LITTLE NECK,PKWY,,,,63,GLEN OAKS,MULTIPLE DWELLING B,NON-EVICT COOP/CONDO,8442,,1.0,,
11004,72-75,LITTLE NECK,PKWY,,,,63,GLEN OAKS,MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CON8D4O42,,1.0,,
11004,73-25,LITTLE NECK,PKWY,,,,63,GLEN OAKS,MULTIPLE DWELLING A,421-A (16),NON-EVICT COOP/COND84O40,,1.0,,
11005,269-10,GRAND CENTRAL,PKWY,,,,63,FLORAL PARK,MULTIPLE DWELLING A,421-A (1-15),NON-EVICT COOP/COND84O89,,1.0,,
11005,270-10,GRAND CENTRAL,PKWY,,,,63,FLORAL PARK,MULTIPLE DWELLING A,421-A (1-15),NON-EVICT COOP/COND84O89,,1.0,,
11005,271-10,GRAND CENTRAL,PKWY,,,,63,FLORAL PARK,MULTIPLE DWELLING A,421-A (1-15),NON-EVICT COOP/COND84O89,,1.0,,
11101,44-72 TO 44-80,11TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 51,,20.0,,
11101,46-09,11TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 55,,20.0,,
11101,47-02,11TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,46,,130.0,,
11101,47-38,11TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,45,,25.0,,
11101,44-44,21ST,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,447,,1.0,,
11101,44-73,21ST,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,78,,2.0,,
11101,44-74,21ST,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING B,,52,,1.0,,
11101,45-05,21ST,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,77,,57.0,,
11101,49-02,21ST,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,62,,30.0,,
11101,41-15,23RD,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 413,,16.0,,
11101,39-23,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,395,,14.0,,
11101,39-25,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,395,,12.0,,
11101,39-31,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,395,,10.0,,
11101,39-44,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,394,,42.0,,
11101,41-21,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 414,,121.0,,
11101,41-22,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,421-A (1-15),413,,32.0,,
11101,41-29,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 414,,117.0,,
11101,41-42,24TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,413,,2.0,,
11101,42-20,24TH,ST,23-01,42ND,RD,63,LONG ISLAND CITY,MULTIPLE DWELLING A,421-A (1-15),425,,1.0,,
11101,37-15,27TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,369,,7.0,,
11101,39-46,27TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,396,,37.0,,
11101,41-32,27TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,415,,36.0,,
11101,42-10,27TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,421-A (16),423,,25.0,,
11101,42-16 TO 42-26,27TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 423,,29.0,,
11101,42-43,27TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,431,,12.0,,
11101,37-33,28TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,370,,1.0,,
11101,41-21,28TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,417,,3.0,,
11101,42-12,28TH,ST,42-15,27TH,ST,63,LONG ISLAND CITY,MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15) 422,,7.0,,
11101,37-34,29TH,ST,,,,63,ASTORIA,MULTIPLE DWELLING A,,370,,7501.0,,
11101,38-06 TO 38-08,29TH,ST,,,,63,ASTORIA,MULTIPLE DWELLING A,,385,,17.0,,
11101,38-14,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,385,,20.0,,
11101,38-32,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,385,,28.0,,
11101,38-38,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,385,,30.0,,
11101,39-21,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,399,,12.0,,
11101,39-25,29TH,ST,,,,63,ASTORIA,MULTIPLE DWELLING A,,399,,10.0,,
11101,41-18,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,417,,28.0,,
11101,41-20,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,417,,30.0,,
11101,41-24,29TH,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,,417,,32.0,,
11101,56-15 TO 56-27,2ND,ST,,,,63,LONG ISLAND CITY,MULTIPLE DWELLING A,ARTICLE 11,6,,7503.0,,
