ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,STATUS3 BLOCK,Unnamed: 0
10301,6,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,7,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,8,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,9,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,10,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,11,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,12,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,13,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,14,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,7,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,14,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,15,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,19,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,22,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,23,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,26,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,27,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,28,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,29,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,30,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,31,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,33,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,34,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,35,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,36,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,37,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,38,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,41,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,42,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,49,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,50,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,53,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,54,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,55,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,56,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,57,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,58,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,59,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,60,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,61,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,62,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,63,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,64,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,68,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,595.0,15.0,,
10301,69,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,73,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,74,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,80,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,81,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,82,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,84,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,85,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,86,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,88,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,89,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,91,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,93,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,94,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,95,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,97,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,99,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,101,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,107,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,110,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,111,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,115,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,121,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,123,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,127,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,128,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,130,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,131,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,132,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,136,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,595.0,15.0,,
10301,137,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,141,ARLO,RD,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,593.0,590.0,,
10301,29,AVON,PL,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,574.0,1.0,,
10301,37,AVON,PL,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,574.0,62.0,,
10301,45,AVON,PL,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,574.0,58.0,,
10301,100,BELMONT,PL,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,20.0,8.0,,
10301,167,CARROLL,PL,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,GARDEN COMPLEX,,14.0,1.0,,
10301,172,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,173,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,174,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,175,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,176,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,177,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,178,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,179,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,180,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,181,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,182,CASTLETON,AVE,351.0,WOODSTOCK,AVE,64,STATEN ISLAND,MULTIPLE DWELLING A,,,114.0,14.0,,
10301,390,CASTLETON,AVE,10.0,HAVENWOOD,RD,64,STATEN ISLAND,MULTIPLE DWELLING A,,,128.0,60.0,,
10301,558,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,559,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,560,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,561,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,562,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,563,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,564,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,565,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
10301,566,CASTLETON,AVE,,,,64,STATEN ISLAND,MULTIPLE DWELLING A,,,132.0,397.0,,
