ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,STATUS3 BLOCK,Unnamed: 0,STREET2 STSUFX2
10001,246,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722.0,3.0,,,
10001,299,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,699.0,31.0,,,
10001,301,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,699.0,32.0,,,
10001,303 TO 309,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,699.0,33.0,,,
10001,440,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,732.0,73.0,,,
10001,442,10TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,732.0,72.0,,,
10001,311,11TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,675.0,12.0,,,
10001,312,11TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,701.0,62.0,,,
10001,320,11TH,AVE,545 TO 577,W 30TH,ST,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,702.0,7502.0,,,
10001,800 TO 802,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,829.0,1.0,,,
10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS,,62,NEW YORK,MULTIPLE DWELLING B,,,804.0,36.0,,,
10001,835 TO 851,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,805.0,7502.0,,,
10001,855,6TH,AVE,100,W 31ST,ST,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,806.0,7502.0,,,
10001,883 TO 885,6TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,807.0,7502.0,,,
10001,315,7TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,803.0,7501.0,,,
10001,288,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774.0,86.0,,,
10001,328,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776.0,4.0,,,
10001,330,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,776.0,4.0,,,
10001,368,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING B,,,778.0,3.0,,,
10001,370,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,778.0,75.0,,,
10001,402,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,780.0,1.0,,,
10001,404,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,780.0,2.0,,,
10001,481,8TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,,758.0,37.0,,,
10001,235,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722.0,40.0,,,
10001,237,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722.0,41.0,,,
10001,239,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722.0,42.0,,,
10001,413,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,731.0,40.0,,,
10001,415 TO 417,9TH,AVE,,,,62,NEW YORK,MULTIPLE DWELLING A,,,731.0,41.0,,,
10001,1186,BROADWAY,,,,,62,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,830.0,54.0,,,
10001,1234,BROADWAY,,38,W 31ST,ST,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,832.0,66.0,,,
10001,226,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774.0,55.0,,,
10001,228,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774.0,56.0,,,
10001,231,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,775.0,17.0,,,
10001,245,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,775.0,9.0,,,
10001,270,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,774.0,76.0,,,
10001,401,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,723.0,7502.0,,,
10001,412,W 25TH,ST,,,,62,NEW YORK,MULTIPLE DWELLING A,,,722.0,48.0,,,
